,Model_Boy,Model_Göğüs,Model_Bel,Model_Kalça,Model_Beden,Model_Kilo,Type,URL,Kumaş Tipi,Desen,Kalıp,Persona,Kol Tipi,Yaka Tipi,Renk,Kol Boyu,Boy,Siluet,Ortam,Paket İçeriği,Materyal Bileşeni,,Materyal,Koleksiyon,Stil,Boy / Ölçü,Yaş,Kapama Şekli,Cep,Ürün Detayı,Ürün Tipi,Kalınlık,Ek Özellik,Sürdürülebilirlik Detayı,Sezon,Astar Durumu,Dokuma Tipi,Baskı/Nakış Tekniği,Kemer/Kuşak Durumu,Teknik,İçerik,Cep Tipi,Model,Alt-Üst Takım,Paça Tipi,Parça Sayısı,Bel
0,,,,,,,Dress,https://www.trendyol.com/magaza/armonika-m-107124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-siyah-papatya-desen-kolsuz-etegi-firfirli-elbise-arm-22y001123-p-334621283?merchantId=107124,Dokuma,Çiçekli,Regular,Cool & Comfort,Standart Kol,Bisiklet Yaka,Siyah,Kolsuz,Mini,Eteği Fırfırlı,Casual/Günlük,Tekli,"60% Viskon, 40% Polyester",Type 1,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-siyah-kisa-kollu-alti-firfirli-elbise-arm-20y001032-p-39673614?merchantId=107124,Dokuma,Düz,Regular,Cool & Comfort,Standart Kol,Bisiklet Yaka,Siyah,Kısa,Midi,Eteği Fırfırlı,Casual/Günlük,Tekli,"60% Pamuk, 40% Polyester",Type 1,Pamuklu,Basic,Gece,Midi,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-saks-kolu-firfirli-sirti-fermuarli-uzun-elbise-arm-23y001114-p-750099365?merchantId=107124,Dokuma,Baskılı,Regular,Young,Standart Kol,Bisiklet Yaka,Lacivert,Askılı,Midi,A-line,Casual/Günlük,Tekli,"60% Pamuk, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Pamuk Polyester,,Günlük,Midi,21 - 40 Yaş,Fermuarlı,Cepsiz,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/armonika/kadin-bordo-beli-kemerli-kisa-kol-gomlek-elbise-arm-19y001068-p-6119706?merchantId=107124,Dokuma,Düz,Regular,Cool & Comfort,Standart Kol,Dik Yaka,Bordo,Kısa,Midi,Gömlek Elbise,Casual/Günlük,Tekli,"60% Viskon, 40% Polyester",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Viskon Karışımlı,Christmas,Günlük,Midi,Tüm Yaş Grupları,,,Kemerli,,,,,,,,,,,,,,,,,
0,,,,,S,56,Dress,https://www.trendyol.com/aski-nisantasi/siyah-bisiklet-yaka-vatkali-yarim-kol-elbise-p-801817156,Dokuma,Düz,Slim,Cool & Comfort,Standart Kol,Bisiklet Yaka,Siyah,Kısa,Standart,Basic,Casual/Günlük,Tekli,,type 1,,Basic,Günlük,Regular,21 - 40 Yaş,Kapamasız,Cepsiz,,Düz,Orta,Ek Özellik Mevcut Değil,Hayır,AW,,,,,,,,,,,,
0,170,82,61,,S,54,Dress,https://www.trendyol.com/lumuteks/kadin-kisa-kollu-maxi-elbise-p-814942642,Örme,,Balık,,Kısa Kol,Bisiklet Yaka,Siyah,Kısa,Uzun,,Günlük,,,,,,Trend,Maxi,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/lokadi/mini-drapeli-aerobin-astarli-elbise-p-743824113,Örme,Düz,Fitted,Fashion Forward,Askılı,U Yaka,Beyaz,Askılı,Mini,A-line,Casual/Günlük,Tekli,,Type1,Dokuma,Basic,Günlük,Mini,21 - 40 Yaş,Fermuarlı,Cepsiz,Büzgü / Drape,Düz,İnce,Ek Özellik Mevcut Değil,,,Astarlı,Aerobin,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/nidewear/sifir-kol-elbise-p-823655402,Dokuma,,Comfort,,,,Beyaz,,Mini,,,,,,,,,Mini,,,,,,,,,,,,,,,,,,,,,
0,165,,,,,50,Dress,https://www.trendyol.com/lumuteks/kadin-siyah-hailey-uzun-kollu-maxi-elbise-p-784453365,Dokuma,Düz,Regular,Feminine,Uzun Kol,Bisiklet Yaka,Siyah,Uzun,Uzun,Bodycone,Casual/Günlük,Tekli,,Type1,Pamuk Polyester,Basic,Trend,Uzun,Tüm Yaş Grupları,Kapamasız,Cepsiz,,,Kalın,İç Göstermeyen,Evet,,Astarlı,,,Kemerli,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/alleyta/kadin-uzun-sandy-ip-askili-elbise-p-754647710,Örme,Düz,Slim Fit,Cool & Comfort,Askılı,U Yaka,Siyah,Askılı,Uzun,Basic,Casual/Günlük,Tekli,"95% Pamuk, 5% Elastan",type 1,Dokuma,Basic,Günlük,Regular,Tüm Yaş Grupları,Kapamasız,Cepsiz,Detaysız,Düz,Orta,Ek Özellik Mevcut Değil,Hayır,,Astarsız,Sandy,Baskısız,Kemersiz,,,,,,,,
0,,,,,S,56,Dress,https://www.trendyol.com/khar/casey-premium-vatkali-t-shirt-elbise-p-807445553,Örme,Düz,Slim Fit,Feminine,Kısa Kol,Bisiklet Yaka,Beyaz,Kısa,Mini,,Casual/Günlük,Tekli,,Type 1,,Basic,Günlük,,Tüm Yaş Grupları,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/oshebu/kadin-bisiklet-yaka-kisa-kol-gul-detayli-mini-elbise-p-820465917,Örme,Düz,Straight,,Kısa Kol,Bisiklet Yaka,Beyaz,Kısa,Mini,,Young,,,,,,Trend,Mini,Tüm Yaş Grupları,Fermuarlı,Cepsiz,,Düz,İnce,İç Göstermeyen,,,Astarsız,,,,,,,,,,,
0,180,84,65,90,,,Dress,https://www.trendyol.com/jimmy-key/siyah-duz-kesim-bisiklet-yaka-kisa-kollu-orme-elbise-p-751620903,Dokuma,Düz,Regular,,Kolsuz,Bisiklet Yaka,Siyah,Kısa,Midi,A-line,Casual/Günlük,Tekli,"97% Polyester, 3% Elastan",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Polyester Karışımlı,Basic,Günlük,Midi,,,Cepsiz,,İpliği Boyalı,,,,,Astarsız,,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/my-cherie/arkasi-lastik-dekolteli-onu-deri-dantel-detayli-mini-ozel-kadin-elbise-siyah-p-806722394,Örme,Düz,Bele Oturan,Sexy,Askılı,Kalp Yaka,Siyah,Askılı,Mini,Skinny,Şık / gece,Tekli,,,Deri,,Trend,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,Dantel/Mesh/File,Düz,İnce,Ek Özellik Mevcut Değil,Hayır,,Astarsız,Dantel,Baskısız,Kemersiz,Yok,,,,,,,
